Number, Time, GPU1 temperature    ,GPU1 usage          ,GPU2 usage          ,GPU1 FB usage       ,GPU1 VID usage      ,GPU2 VID usage      ,GPU1 BUS usage      ,GPU1 memory usage   ,GPU2 memory usage   ,GPU1 core clock     ,GPU1 memory clock   ,GPU1 power          ,GPU1 temp limit     ,GPU1 power limit    ,GPU1 voltage limit  ,GPU1 no load limit  ,CPU1 temperature    ,CPU2 temperature    ,CPU3 temperature    ,CPU4 temperature    ,CPU5 temperature    ,CPU6 temperature    ,CPU7 temperature    ,CPU8 temperature    ,CPU temperature     ,CPU1 usage          ,CPU2 usage          ,CPU3 usage          ,CPU4 usage          ,CPU5 usage          ,CPU6 usage          ,CPU7 usage          ,CPU8 usage          ,CPU usage           ,CPU1 clock          ,CPU2 clock          ,CPU3 clock          ,CPU4 clock          ,CPU5 clock          ,CPU6 clock          ,CPU7 clock          ,CPU8 clock          ,CPU clock           ,CPU power           ,RAM usage           ,Commit charge       ,Framerate           
80, 25-04-2024 10:18:08, 52.000              ,6.000               ,0.000               ,3.000               ,0.000               ,0.000               ,0.000               ,957.539             ,1.664               ,450.000             ,810.000             ,18.250              ,0.000               ,0.000               ,0.000               ,1.000               ,90.000              ,90.000              ,81.000              ,81.000              ,89.000              ,88.000              ,85.000              ,85.000              ,93.000              ,29.422              ,24.675              ,36.595              ,25.202              ,32.519              ,28.525              ,28.936              ,46.431              ,31.538              ,4193.293            ,4193.293            ,4193.293            ,4193.293            ,4193.293            ,4193.293            ,4193.293            ,4193.293            ,4193.293            ,31.775              ,5740.000            ,10566.000           ,0.700               
80, 25-04-2024 10:18:08, 52.000              ,6.000               ,0.000               ,3.000               ,0.000               ,0.000               ,0.000               ,957.539             ,1.664               ,420.000             ,810.000             ,18.225              ,0.000               ,0.000               ,0.000               ,1.000               ,75.000              ,75.000              ,74.000              ,74.000              ,81.000              ,81.000              ,86.000              ,86.000              ,86.000              ,13.853              ,16.358              ,12.121              ,23.908              ,24.480              ,19.446              ,14.319              ,54.895              ,22.423              ,4193.292            ,4193.292            ,4193.292            ,4193.292            ,4193.292            ,4193.292            ,4193.292            ,4193.292            ,4193.292            ,26.875              ,5761.000            ,10581.000           ,0.700               
80, 25-04-2024 10:18:09, 52.000              ,20.000              ,0.000               ,15.000              ,0.000               ,0.000               ,0.000               ,957.539             ,1.664               ,375.000             ,810.000             ,15.381              ,0.000               ,0.000               ,0.000               ,1.000               ,76.000              ,76.000              ,73.000              ,73.000              ,84.000              ,85.000              ,93.000              ,93.000              ,93.000              ,31.725              ,23.019              ,28.799              ,17.615              ,31.664              ,23.544              ,32.899              ,56.708              ,30.746              ,4293.132            ,4293.132            ,4293.132            ,4293.132            ,4293.132            ,4293.132            ,4293.132            ,4293.132            ,4293.132            ,31.059              ,5748.000            ,10572.000           ,0.000               
80, 25-04-2024 10:18:10, 51.000              ,30.000              ,0.000               ,24.000              ,0.000               ,0.000               ,0.000               ,957.539             ,1.664               ,375.000             ,405.000             ,14.664              ,0.000               ,0.000               ,0.000               ,1.000               ,79.000              ,81.000              ,71.000              ,71.000              ,69.000              ,69.000              ,88.000              ,88.000              ,88.000              ,22.517              ,13.246              ,19.391              ,15.233              ,17.225              ,12.773              ,18.872              ,66.135              ,23.174              ,4193.293            ,4193.293            ,4193.293            ,4193.293            ,4193.293            ,4193.293            ,4193.293            ,4193.293            ,4193.293            ,28.554              ,5737.000            ,10550.000           ,0.000               
80, 25-04-2024 10:18:11, 51.000              ,31.000              ,0.000               ,25.000              ,0.000               ,0.000               ,0.000               ,957.539             ,1.664               ,630.000             ,810.000             ,13.952              ,0.000               ,0.000               ,0.000               ,1.000               ,62.000              ,62.000              ,72.000              ,72.000              ,61.000              ,61.000              ,61.000              ,61.000              ,73.000              ,13.567              ,5.620               ,7.516               ,23.963              ,7.681               ,6.428               ,11.109              ,12.448              ,11.042              ,4193.293            ,4193.293            ,4193.293            ,4193.293            ,4193.293            ,4193.293            ,4193.293            ,4193.293            ,4193.293            ,16.704              ,5737.000            ,10554.000           ,0.000               
80, 25-04-2024 10:18:12, 51.000              ,31.000              ,0.000               ,26.000              ,0.000               ,0.000               ,0.000               ,957.539             ,1.664               ,435.000             ,405.000             ,13.057              ,0.000               ,0.000               ,0.000               ,1.000               ,64.000              ,64.000              ,64.000              ,64.000              ,62.000              ,62.000              ,70.000              ,70.000              ,70.000              ,9.866               ,5.003               ,8.717               ,9.103               ,10.262              ,6.757               ,5.496               ,27.279              ,10.310              ,4293.132            ,4293.132            ,4293.132            ,4293.132            ,4293.132            ,4293.132            ,4293.132            ,4293.132            ,4293.132            ,18.327              ,5738.000            ,10554.000           ,0.000               
80, 25-04-2024 10:18:13, 51.000              ,30.000              ,0.000               ,26.000              ,0.000               ,0.000               ,0.000               ,957.539             ,1.664               ,795.000             ,810.000             ,12.928              ,0.000               ,0.000               ,0.000               ,1.000               ,73.000              ,73.000              ,70.000              ,70.000              ,91.000              ,91.000              ,75.000              ,75.000              ,91.000              ,17.698              ,7.081               ,14.344              ,10.976              ,23.278              ,9.298               ,11.105              ,16.079              ,13.732              ,4193.292            ,4193.292            ,4193.292            ,4193.292            ,4193.292            ,4193.292            ,4193.292            ,4193.292            ,4193.292            ,21.102              ,5738.000            ,10553.000           ,0.100               
80, 25-04-2024 10:18:14, 52.000              ,30.000              ,0.000               ,26.000              ,0.000               ,0.000               ,0.000               ,995.867             ,1.664               ,960.000             ,5500.990            ,23.697              ,0.000               ,0.000               ,0.000               ,1.000               ,79.000              ,79.000              ,77.000              ,77.000              ,88.000              ,88.000              ,93.000              ,93.000              ,93.000              ,43.632              ,42.916              ,45.002              ,54.661              ,43.153              ,34.831              ,53.882              ,54.176              ,46.532              ,4193.292            ,4193.292            ,4193.292            ,4193.292            ,4193.292            ,4193.292            ,4193.292            ,4193.292            ,4193.292            ,33.432              ,5806.000            ,10686.000           ,0.100               
80, 25-04-2024 10:18:15, 53.000              ,22.000              ,0.000               ,14.000              ,0.000               ,0.000               ,0.000               ,957.539             ,1.664               ,960.000             ,5500.990            ,24.061              ,0.000               ,0.000               ,0.000               ,1.000               ,80.000              ,80.000              ,77.000              ,77.000              ,95.000              ,95.000              ,77.000              ,77.000              ,95.000              ,30.826              ,20.022              ,23.208              ,26.092              ,19.687              ,31.969              ,28.027              ,29.696              ,26.191              ,4193.293            ,4193.293            ,4193.293            ,4193.293            ,4193.293            ,4193.293            ,4193.293            ,4193.293            ,4193.293            ,30.208              ,5774.000            ,10609.000           ,0.000               
80, 25-04-2024 10:18:16, 53.000              ,8.000               ,0.000               ,4.000               ,0.000               ,0.000               ,0.000               ,962.039             ,1.664               ,960.000             ,5500.990            ,24.027              ,0.000               ,0.000               ,0.000               ,1.000               ,67.000              ,67.000              ,67.000              ,67.000              ,64.000              ,64.000              ,71.000              ,71.000              ,71.000              ,21.815              ,17.571              ,22.680              ,19.081              ,16.838              ,39.242              ,20.594              ,26.145              ,22.996              ,3694.092            ,3694.092            ,3694.092            ,3694.092            ,3694.092            ,3793.932            ,3793.932            ,3793.932            ,3793.932            ,21.326              ,5786.000            ,10682.000           ,0.300               
