Number, Time, GPU1 temperature    ,GPU1 usage          ,GPU2 usage          ,GPU1 FB usage       ,GPU1 VID usage      ,GPU2 VID usage      ,GPU1 BUS usage      ,GPU1 memory usage   ,GPU2 memory usage   ,GPU1 core clock     ,GPU1 memory clock   ,GPU1 power          ,GPU1 temp limit     ,GPU1 power limit    ,GPU1 voltage limit  ,GPU1 no load limit  ,CPU1 temperature    ,CPU2 temperature    ,CPU3 temperature    ,CPU4 temperature    ,CPU5 temperature    ,CPU6 temperature    ,CPU7 temperature    ,CPU8 temperature    ,CPU temperature     ,CPU1 usage          ,CPU2 usage          ,CPU3 usage          ,CPU4 usage          ,CPU5 usage          ,CPU6 usage          ,CPU7 usage          ,CPU8 usage          ,CPU usage           ,CPU1 clock          ,CPU2 clock          ,CPU3 clock          ,CPU4 clock          ,CPU5 clock          ,CPU6 clock          ,CPU7 clock          ,CPU8 clock          ,CPU clock           ,CPU power           ,RAM usage           ,Commit charge       ,Framerate           
80, 24-04-2024 23:41:06, 52.000              ,28.000              ,0.000               ,26.000              ,0.000               ,0.000               ,0.000               ,1588.352            ,16.008              ,825.000             ,810.000             ,13.423              ,0.000               ,0.000               ,0.000               ,1.000               ,79.000              ,79.000              ,73.000              ,73.000              ,71.000              ,71.000              ,74.000              ,74.000              ,79.000              ,22.609              ,10.243              ,15.973              ,8.451               ,8.895               ,21.193              ,27.900              ,21.488              ,17.094              ,4193.292            ,4193.292            ,4193.292            ,4193.292            ,4193.292            ,4193.292            ,4293.132            ,4293.132            ,4293.132            ,25.008              ,8316.000            ,15212.000           ,N/A                 
80, 24-04-2024 23:41:07, 53.000              ,23.000              ,0.000               ,11.000              ,0.000               ,0.000               ,0.000               ,1590.398            ,16.008              ,960.000             ,5500.990            ,24.424              ,0.000               ,0.000               ,0.000               ,1.000               ,73.000              ,73.000              ,74.000              ,74.000              ,71.000              ,71.000              ,78.000              ,78.000              ,78.000              ,22.356              ,8.387               ,33.935              ,10.065              ,12.813              ,16.297              ,11.339              ,14.432              ,16.203              ,4193.292            ,4193.292            ,4193.292            ,4193.292            ,4193.292            ,4193.292            ,4193.292            ,4193.292            ,4193.292            ,21.875              ,8314.000            ,15216.000           ,N/A                 
80, 24-04-2024 23:41:08, 54.000              ,9.000               ,0.000               ,4.000               ,0.000               ,0.000               ,0.000               ,1583.211            ,16.008              ,960.000             ,5500.990            ,24.147              ,0.000               ,0.000               ,0.000               ,1.000               ,79.000              ,79.000              ,70.000              ,70.000              ,67.000              ,67.000              ,68.000              ,68.000              ,79.000              ,15.702              ,2.841               ,14.307              ,6.398               ,7.647               ,4.502               ,6.486               ,15.560              ,9.180               ,4193.292            ,4193.292            ,4193.292            ,4193.292            ,4193.292            ,4193.292            ,4193.292            ,4193.292            ,4193.292            ,16.562              ,8303.000            ,15204.000           ,N/A                 
80, 24-04-2024 23:41:09, 53.000              ,22.000              ,0.000               ,15.000              ,0.000               ,0.000               ,0.000               ,1583.211            ,16.008              ,375.000             ,810.000             ,16.930              ,0.000               ,0.000               ,0.000               ,1.000               ,77.000              ,77.000              ,70.000              ,70.000              ,69.000              ,69.000              ,68.000              ,68.000              ,78.000              ,13.127              ,7.805               ,35.052              ,3.350               ,13.922              ,6.387               ,9.414               ,6.817               ,11.984              ,4193.292            ,4193.292            ,4193.292            ,4193.292            ,4193.292            ,4193.292            ,4193.292            ,4193.292            ,4193.292            ,20.367              ,8307.000            ,15204.000           ,N/A                 
80, 24-04-2024 23:41:10, 53.000              ,35.000              ,0.000               ,24.000              ,0.000               ,0.000               ,0.000               ,1585.336            ,16.008              ,390.000             ,810.000             ,14.971              ,0.000               ,0.000               ,0.000               ,1.000               ,78.000              ,78.000              ,74.000              ,74.000              ,70.000              ,70.000              ,71.000              ,71.000              ,77.000              ,15.160              ,5.783               ,20.376              ,5.926               ,10.607              ,2.918               ,8.735               ,8.603               ,9.764               ,4193.292            ,4193.292            ,4193.292            ,4193.292            ,4193.292            ,4193.292            ,4193.292            ,4193.292            ,4193.292            ,17.174              ,8310.000            ,15202.000           ,N/A                 
80, 24-04-2024 23:41:11, 52.000              ,30.000              ,0.000               ,24.000              ,0.000               ,0.000               ,0.000               ,1586.898            ,16.008              ,390.000             ,810.000             ,14.760              ,0.000               ,0.000               ,0.000               ,1.000               ,86.000              ,86.000              ,94.000              ,91.000              ,72.000              ,72.000              ,77.000              ,77.000              ,91.000              ,19.067              ,9.046               ,13.908              ,45.942              ,15.070              ,6.839               ,14.206              ,13.444              ,17.190              ,4193.292            ,4193.292            ,4193.292            ,4193.292            ,4193.292            ,4193.292            ,4193.292            ,4193.292            ,4193.292            ,22.598              ,7006.000            ,15203.000           ,N/A                 
80, 24-04-2024 23:41:12, 52.000              ,42.000              ,0.000               ,28.000              ,0.000               ,0.000               ,0.000               ,1589.461            ,16.008              ,495.000             ,405.000             ,15.671              ,0.000               ,0.000               ,0.000               ,1.000               ,96.000              ,96.000              ,88.000              ,88.000              ,93.000              ,93.000              ,83.000              ,83.000              ,96.000              ,23.804              ,53.477              ,26.870              ,11.565              ,20.750              ,28.085              ,19.368              ,29.610              ,26.691              ,4093.451            ,3694.090            ,3694.090            ,3694.090            ,3694.090            ,3694.090            ,3694.090            ,3694.090            ,4093.451            ,31.460              ,6106.000            ,15207.000           ,N/A                 
80, 24-04-2024 23:41:13, 53.000              ,29.000              ,0.000               ,9.000               ,0.000               ,0.000               ,0.000               ,1591.273            ,16.008              ,960.000             ,5500.990            ,24.907              ,0.000               ,0.000               ,0.000               ,1.000               ,90.000              ,90.000              ,87.000              ,87.000              ,92.000              ,92.000              ,86.000              ,86.000              ,92.000              ,43.117              ,24.657              ,48.382              ,20.812              ,35.276              ,52.051              ,45.157              ,40.784              ,38.779              ,3793.931            ,3793.931            ,3793.931            ,3793.931            ,3793.931            ,3793.931            ,3793.931            ,3793.931            ,3793.931            ,34.913              ,5843.000            ,15214.000           ,N/A                 
80, 24-04-2024 23:41:14, 53.000              ,18.000              ,0.000               ,5.000               ,0.000               ,0.000               ,1.000               ,1570.398            ,16.008              ,675.000             ,810.000             ,25.666              ,0.000               ,0.000               ,0.000               ,1.000               ,93.000              ,93.000              ,86.000              ,86.000              ,93.000              ,93.000              ,84.000              ,84.000              ,93.000              ,59.047              ,44.724              ,60.347              ,44.051              ,51.188              ,66.495              ,58.377              ,54.018              ,54.781              ,3594.250            ,3594.250            ,3594.250            ,3594.250            ,3594.250            ,3594.250            ,3594.250            ,3694.090            ,3694.090            ,33.474              ,5773.000            ,15325.000           ,N/A                 
80, 24-04-2024 23:41:15, 54.000              ,25.000              ,0.000               ,8.000               ,0.000               ,0.000               ,0.000               ,1441.633            ,16.008              ,960.000             ,5500.990            ,24.754              ,0.000               ,0.000               ,0.000               ,1.000               ,95.000              ,95.000              ,87.000              ,87.000              ,91.000              ,90.000              ,83.000              ,83.000              ,94.000              ,69.291              ,65.338              ,69.647              ,65.033              ,66.591              ,73.288              ,73.883              ,63.682              ,68.344              ,3793.931            ,3793.931            ,3793.931            ,3793.931            ,3793.931            ,3793.931            ,3793.931            ,3793.931            ,3793.931            ,33.982              ,5317.000            ,14728.000           ,N/A                 
