02, 07-04-2024 22:52:10, GPU temperature     ,GPU usage           ,FB usage            ,VID usage           ,BUS usage           ,Memory usage        ,Core clock          ,Memory clock        ,Power percent       ,Power               ,Temp limit          ,Power limit         ,Voltage limit       ,No load limit       ,CPU1 temperature    ,CPU2 temperature    ,CPU3 temperature    ,CPU4 temperature    ,CPU5 temperature    ,CPU6 temperature    ,CPU7 temperature    ,CPU8 temperature    ,CPU9 temperature    ,CPU10 temperature   ,CPU11 temperature   ,CPU12 temperature   ,CPU temperature     ,CPU1 usage          ,CPU2 usage          ,CPU3 usage          ,CPU4 usage          ,CPU5 usage          ,CPU6 usage          ,CPU7 usage          ,CPU8 usage          ,CPU9 usage          ,CPU10 usage         ,CPU11 usage         ,CPU12 usage         ,CPU usage           ,CPU1 clock          ,CPU2 clock          ,CPU3 clock          ,CPU4 clock          ,CPU5 clock          ,CPU6 clock          ,CPU7 clock          ,CPU8 clock          ,CPU9 clock          ,CPU10 clock         ,CPU11 clock         ,CPU12 clock         ,CPU clock           ,CPU power           ,RAM usage           ,Commit charge       ,Framerate           ,Frametime           ,Framerate Min       ,Framerate Avg       ,Framerate Max       
80, 07-04-2024 22:52:11, 72.000              ,60.000              ,24.000              ,0.000               ,2.000               ,3502.328            ,1845.000            ,6000.984            ,95.000              ,77.106              ,0.000               ,1.000               ,0.000               ,0.000               ,95.000              ,95.000              ,87.000              ,87.000              ,94.000              ,94.000              ,86.000              ,86.000              ,85.000              ,85.000              ,82.000              ,81.000              ,93.000              ,46.057              ,27.537              ,54.681              ,30.999              ,40.540              ,24.619              ,34.224              ,22.741              ,28.033              ,22.688              ,37.659              ,60.644              ,35.869              ,2990.778            ,2990.778            ,2990.778            ,2990.778            ,2990.778            ,2990.778            ,2990.778            ,2990.778            ,2990.778            ,2990.778            ,2990.778            ,2990.778            ,2990.778            ,29.153              ,8691.000            ,16761.000           ,59.300              ,19.439              ,N/A                 ,N/A                 ,N/A                 
80, 07-04-2024 22:52:12, 72.000              ,60.000              ,24.000              ,0.000               ,2.000               ,3510.133            ,1815.000            ,6000.984            ,108.000             ,76.447              ,0.000               ,1.000               ,0.000               ,0.000               ,97.000              ,97.000              ,87.000              ,87.000              ,97.000              ,97.000              ,87.000              ,87.000              ,85.000              ,85.000              ,83.000              ,83.000              ,97.000              ,38.345              ,21.035              ,46.753              ,30.424              ,35.362              ,21.990              ,29.131              ,18.835              ,26.044              ,17.700              ,29.485              ,60.577              ,31.307              ,3489.240            ,3289.855            ,3289.855            ,3090.470            ,2891.085            ,2891.085            ,2891.085            ,2891.085            ,2891.085            ,2891.085            ,2990.777            ,2990.777            ,3489.240            ,29.613              ,8701.000            ,16750.000           ,59.600              ,19.795              ,N/A                 ,N/A                 ,N/A                 
80, 07-04-2024 22:52:13, 73.000              ,59.000              ,23.000              ,0.000               ,2.000               ,3533.898            ,1845.000            ,6000.984            ,85.000              ,77.850              ,0.000               ,1.000               ,0.000               ,0.000               ,93.000              ,93.000              ,84.000              ,84.000              ,93.000              ,93.000              ,84.000              ,85.000              ,83.000              ,83.000              ,82.000              ,82.000              ,94.000              ,39.240              ,19.189              ,37.430              ,21.028              ,27.681              ,19.524              ,26.903              ,14.075              ,19.404              ,13.893              ,24.562              ,59.945              ,26.906              ,3588.933            ,3588.933            ,3588.933            ,3588.933            ,3588.933            ,3588.933            ,3588.933            ,3588.933            ,3588.933            ,3588.933            ,3588.933            ,3588.933            ,3588.933            ,28.692              ,8707.000            ,16780.000           ,59.100              ,22.921              ,N/A                 ,N/A                 ,N/A                 
80, 07-04-2024 22:52:14, 73.000              ,58.000              ,23.000              ,0.000               ,2.000               ,3604.438            ,1860.000            ,6000.984            ,69.000              ,70.820              ,0.000               ,0.000               ,0.000               ,1.000               ,94.000              ,94.000              ,82.000              ,82.000              ,92.000              ,92.000              ,84.000              ,84.000              ,84.000              ,84.000              ,79.000              ,79.000              ,94.000              ,44.533              ,22.317              ,44.913              ,23.377              ,32.835              ,21.701              ,29.903              ,17.504              ,25.189              ,17.712              ,30.643              ,64.231              ,31.238              ,3588.933            ,3588.933            ,3588.933            ,3588.933            ,3588.933            ,3588.933            ,3588.933            ,3588.933            ,3588.933            ,3588.933            ,3588.933            ,3588.933            ,3588.933            ,28.496              ,8753.000            ,16913.000           ,55.900              ,38.013              ,N/A                 ,N/A                 ,N/A                 
80, 07-04-2024 22:52:15, 73.000              ,54.000              ,21.000              ,0.000               ,3.000               ,3551.785            ,1800.000            ,6000.984            ,92.000              ,78.847              ,0.000               ,1.000               ,0.000               ,0.000               ,95.000              ,95.000              ,85.000              ,85.000              ,90.000              ,90.000              ,83.000              ,83.000              ,83.000              ,83.000              ,79.000              ,79.000              ,95.000              ,46.714              ,27.596              ,56.209              ,28.827              ,39.128              ,28.060              ,35.241              ,22.514              ,31.919              ,23.198              ,37.726              ,65.951              ,36.924              ,2193.236            ,2193.236            ,2193.236            ,2292.928            ,2292.928            ,2292.928            ,2292.928            ,2292.928            ,2292.928            ,2193.236            ,2193.236            ,1993.851            ,2292.928            ,28.522              ,8773.000            ,16982.000           ,49.200              ,103.648             ,N/A                 ,N/A                 ,N/A                 
80, 07-04-2024 22:52:16, 73.000              ,70.000              ,25.000              ,0.000               ,3.000               ,3568.129            ,1785.000            ,6000.984            ,95.000              ,80.866              ,0.000               ,1.000               ,0.000               ,0.000               ,95.000              ,95.000              ,83.000              ,83.000              ,89.000              ,89.000              ,82.000              ,82.000              ,82.000              ,82.000              ,78.000              ,78.000              ,94.000              ,49.867              ,25.788              ,43.219              ,23.158              ,28.867              ,21.758              ,27.532              ,17.477              ,22.109              ,16.365              ,26.064              ,69.380              ,30.965              ,3489.239            ,3489.239            ,3489.239            ,3489.239            ,3489.239            ,3489.239            ,3489.239            ,3489.239            ,3489.239            ,3489.239            ,3489.239            ,3289.854            ,3489.239            ,27.278              ,8767.000            ,16975.000           ,59.300              ,19.584              ,N/A                 ,N/A                 ,N/A                 
80, 07-04-2024 22:52:17, 73.000              ,73.000              ,26.000              ,0.000               ,3.000               ,3564.730            ,1770.000            ,6000.984            ,111.000             ,77.001              ,0.000               ,1.000               ,0.000               ,0.000               ,94.000              ,94.000              ,84.000              ,84.000              ,91.000              ,91.000              ,83.000              ,83.000              ,83.000              ,83.000              ,80.000              ,80.000              ,94.000              ,44.488              ,24.941              ,45.742              ,25.573              ,33.182              ,23.900              ,28.485              ,18.300              ,25.308              ,17.802              ,32.684              ,68.324              ,32.394              ,3688.627            ,3688.627            ,3588.934            ,3389.549            ,3389.549            ,3389.549            ,3389.549            ,3389.549            ,3389.549            ,3190.164            ,3190.164            ,3190.164            ,3688.627            ,29.046              ,8761.000            ,17042.000           ,57.800              ,23.433              ,N/A                 ,N/A                 ,N/A                 
80, 07-04-2024 22:52:18, 73.000              ,69.000              ,25.000              ,0.000               ,4.000               ,3525.594            ,1815.000            ,6000.984            ,89.000              ,78.456              ,0.000               ,1.000               ,0.000               ,0.000               ,95.000              ,95.000              ,85.000              ,85.000              ,91.000              ,91.000              ,85.000              ,85.000              ,84.000              ,84.000              ,82.000              ,82.000              ,94.000              ,43.551              ,23.318              ,43.437              ,26.253              ,33.507              ,20.887              ,27.718              ,19.642              ,24.929              ,17.850              ,29.721              ,72.195              ,31.917              ,3289.856            ,3289.856            ,3289.856            ,3289.856            ,3289.856            ,3289.856            ,3289.856            ,3289.856            ,3389.549            ,3389.549            ,3389.549            ,3489.241            ,3489.241            ,28.742              ,8756.000            ,17007.000           ,56.900              ,26.643              ,N/A                 ,N/A                 ,N/A                 
80, 07-04-2024 22:52:19, 73.000              ,72.000              ,26.000              ,0.000               ,3.000               ,3530.410            ,1785.000            ,6000.984            ,90.000              ,77.014              ,0.000               ,1.000               ,0.000               ,0.000               ,93.000              ,93.000              ,83.000              ,83.000              ,91.000              ,91.000              ,85.000              ,85.000              ,84.000              ,84.000              ,80.000              ,80.000              ,93.000              ,37.473              ,21.633              ,40.090              ,22.951              ,31.209              ,21.230              ,28.286              ,16.286              ,20.619              ,16.487              ,26.434              ,72.623              ,29.610              ,3190.162            ,3190.162            ,3190.162            ,3190.162            ,3190.162            ,3190.162            ,3190.162            ,3190.162            ,3190.162            ,3190.162            ,3190.162            ,3190.162            ,3190.162            ,28.937              ,8750.000            ,16934.000           ,58.200              ,20.023              ,N/A                 ,N/A                 ,N/A                 
80, 07-04-2024 22:52:20, 74.000              ,69.000              ,25.000              ,0.000               ,3.000               ,3527.930            ,1785.000            ,6000.984            ,86.000              ,78.089              ,0.000               ,1.000               ,0.000               ,0.000               ,98.000              ,98.000              ,85.000              ,85.000              ,91.000              ,91.000              ,85.000              ,85.000              ,84.000              ,84.000              ,82.000              ,82.000              ,97.000              ,46.353              ,25.500              ,47.208              ,30.932              ,40.145              ,23.846              ,35.564              ,20.455              ,30.050              ,19.262              ,31.671              ,70.853              ,35.153              ,2891.085            ,2891.085            ,2891.085            ,2891.085            ,2791.392            ,2791.392            ,2891.085            ,2891.085            ,2891.085            ,2891.085            ,2891.085            ,2891.085            ,2891.085            ,28.573              ,8764.000            ,16901.000           ,56.600              ,23.213              ,N/A                 ,N/A                 ,N/A                 
