02, 07-04-2024 23:33:28, GPU temperature     ,GPU usage           ,FB usage            ,VID usage           ,BUS usage           ,Memory usage        ,Core clock          ,Memory clock        ,Power percent       ,Power               ,Temp limit          ,Power limit         ,Voltage limit       ,No load limit       ,CPU1 temperature    ,CPU2 temperature    ,CPU3 temperature    ,CPU4 temperature    ,CPU5 temperature    ,CPU6 temperature    ,CPU7 temperature    ,CPU8 temperature    ,CPU9 temperature    ,CPU10 temperature   ,CPU11 temperature   ,CPU12 temperature   ,CPU temperature     ,CPU1 usage          ,CPU2 usage          ,CPU3 usage          ,CPU4 usage          ,CPU5 usage          ,CPU6 usage          ,CPU7 usage          ,CPU8 usage          ,CPU9 usage          ,CPU10 usage         ,CPU11 usage         ,CPU12 usage         ,CPU usage           ,CPU1 clock          ,CPU2 clock          ,CPU3 clock          ,CPU4 clock          ,CPU5 clock          ,CPU6 clock          ,CPU7 clock          ,CPU8 clock          ,CPU9 clock          ,CPU10 clock         ,CPU11 clock         ,CPU12 clock         ,CPU clock           ,CPU power           ,RAM usage           ,Commit charge       ,Framerate           ,Frametime           ,Framerate Min       ,Framerate Avg       ,Framerate Max       
80, 07-04-2024 23:33:29, 46.000              ,5.000               ,10.000              ,4.000               ,0.000               ,715.832             ,300.000             ,405.000             ,12.000              ,9.913               ,0.000               ,0.000               ,0.000               ,1.000               ,64.000              ,64.000              ,59.000              ,59.000              ,62.000              ,62.000              ,60.000              ,60.000              ,58.000              ,58.000              ,58.000              ,58.000              ,64.000              ,10.281              ,5.209               ,12.306              ,5.486               ,6.191               ,4.604               ,7.243               ,1.934               ,5.785               ,4.015               ,7.239               ,9.071               ,6.614               ,4087.396            ,4087.396            ,4087.396            ,4087.396            ,4087.396            ,4087.396            ,4087.396            ,4087.396            ,4087.396            ,4087.396            ,4087.396            ,4087.396            ,4087.396            ,13.959              ,6597.000            ,12016.000           ,N/A                 ,0.000               ,N/A                 ,N/A                 ,N/A                 
80, 07-04-2024 23:33:30, 46.000              ,7.000               ,11.000              ,4.000               ,0.000               ,715.832             ,300.000             ,405.000             ,12.000              ,9.825               ,0.000               ,0.000               ,0.000               ,1.000               ,64.000              ,64.000              ,60.000              ,60.000              ,63.000              ,63.000              ,61.000              ,61.000              ,59.000              ,59.000              ,59.000              ,59.000              ,65.000              ,13.822              ,3.797               ,8.703               ,6.764               ,11.028              ,4.073               ,8.766               ,4.578               ,8.211               ,3.607               ,10.639              ,5.588               ,7.465               ,4087.396            ,4087.396            ,4087.396            ,4087.396            ,4087.396            ,4087.396            ,4087.396            ,4087.396            ,4087.396            ,4087.396            ,4087.396            ,4087.396            ,4087.396            ,16.489              ,6603.000            ,12018.000           ,N/A                 ,0.000               ,N/A                 ,N/A                 ,N/A                 
80, 07-04-2024 23:33:31, 46.000              ,5.000               ,10.000              ,0.000               ,0.000               ,715.832             ,300.000             ,405.000             ,12.000              ,9.854               ,0.000               ,0.000               ,0.000               ,1.000               ,60.000              ,60.000              ,57.000              ,57.000              ,65.000              ,65.000              ,57.000              ,57.000              ,56.000              ,56.000              ,53.000              ,53.000              ,65.000              ,7.058               ,0.000               ,7.205               ,3.335               ,6.364               ,3.389               ,5.285               ,1.826               ,3.342               ,1.288               ,3.696               ,5.548               ,4.028               ,4087.396            ,4087.396            ,4087.396            ,4087.396            ,4087.396            ,4087.396            ,4087.396            ,4087.396            ,4087.396            ,4087.396            ,4087.396            ,4087.396            ,4087.396            ,11.382              ,6598.000            ,12020.000           ,N/A                 ,0.000               ,N/A                 ,N/A                 ,N/A                 
80, 07-04-2024 23:33:32, 46.000              ,5.000               ,10.000              ,1.000               ,0.000               ,715.832             ,300.000             ,405.000             ,12.000              ,10.086              ,0.000               ,0.000               ,0.000               ,1.000               ,72.000              ,72.000              ,62.000              ,62.000              ,86.000              ,86.000              ,65.000              ,65.000              ,62.000              ,62.000              ,59.000              ,59.000              ,86.000              ,11.097              ,2.751               ,13.884              ,7.272               ,10.290              ,4.218               ,7.326               ,5.984               ,6.490               ,4.157               ,7.583               ,7.039               ,7.341               ,4087.396            ,4087.396            ,4087.396            ,4087.396            ,4087.396            ,4087.396            ,4087.396            ,4087.396            ,4087.396            ,4087.396            ,4087.396            ,4087.396            ,4087.396            ,15.247              ,6588.000            ,12020.000           ,N/A                 ,0.000               ,N/A                 ,N/A                 ,N/A                 
80, 07-04-2024 23:33:33, 46.000              ,10.000              ,13.000              ,10.000              ,0.000               ,715.832             ,300.000             ,405.000             ,12.000              ,9.853               ,0.000               ,0.000               ,0.000               ,1.000               ,63.000              ,63.000              ,60.000              ,60.000              ,61.000              ,61.000              ,59.000              ,59.000              ,57.000              ,57.000              ,57.000              ,57.000              ,63.000              ,10.653              ,0.775               ,14.036              ,3.794               ,5.124               ,4.649               ,6.877               ,1.531               ,3.990               ,3.760               ,5.218               ,5.713               ,5.510               ,3987.703            ,3987.703            ,3987.703            ,3987.703            ,3987.703            ,3987.703            ,3987.703            ,3987.703            ,3987.703            ,3987.703            ,3987.703            ,3987.703            ,3987.703            ,15.153              ,6585.000            ,12021.000           ,N/A                 ,0.000               ,N/A                 ,N/A                 ,N/A                 
80, 07-04-2024 23:33:34, 46.000              ,6.000               ,11.000              ,4.000               ,0.000               ,715.832             ,300.000             ,405.000             ,12.000              ,9.735               ,0.000               ,0.000               ,0.000               ,1.000               ,60.000              ,60.000              ,57.000              ,57.000              ,59.000              ,59.000              ,57.000              ,57.000              ,56.000              ,56.000              ,56.000              ,56.000              ,60.000              ,8.597               ,1.726               ,10.271              ,5.978               ,9.309               ,3.199               ,5.428               ,2.186               ,4.702               ,3.111               ,5.026               ,5.785               ,5.443               ,4087.396            ,4087.396            ,4087.396            ,4087.396            ,4087.396            ,4087.396            ,4087.396            ,4087.396            ,4087.396            ,4087.396            ,4087.396            ,4087.396            ,4087.396            ,11.742              ,6591.000            ,12019.000           ,N/A                 ,0.000               ,N/A                 ,N/A                 ,N/A                 
80, 07-04-2024 23:33:35, 46.000              ,8.000               ,11.000              ,5.000               ,0.000               ,715.832             ,300.000             ,405.000             ,13.000              ,10.100              ,0.000               ,0.000               ,0.000               ,1.000               ,69.000              ,69.000              ,65.000              ,65.000              ,73.000              ,73.000              ,63.000              ,63.000              ,60.000              ,60.000              ,58.000              ,58.000              ,72.000              ,9.657               ,3.136               ,10.960              ,3.637               ,6.141               ,4.253               ,5.845               ,0.578               ,3.608               ,2.829               ,4.823               ,6.116               ,5.132               ,4087.396            ,4087.396            ,4087.396            ,4087.396            ,4087.396            ,4087.396            ,4087.396            ,4087.396            ,4087.396            ,4087.396            ,4087.396            ,4087.396            ,4087.396            ,14.453              ,6589.000            ,12021.000           ,N/A                 ,0.000               ,N/A                 ,N/A                 ,N/A                 
80, 07-04-2024 23:33:36, 46.000              ,9.000               ,12.000              ,8.000               ,0.000               ,715.832             ,300.000             ,405.000             ,12.000              ,9.711               ,0.000               ,0.000               ,0.000               ,1.000               ,59.000              ,59.000              ,57.000              ,57.000              ,58.000              ,58.000              ,57.000              ,57.000              ,55.000              ,55.000              ,56.000              ,56.000              ,60.000              ,8.012               ,0.214               ,8.093               ,4.136               ,5.525               ,1.664               ,5.113               ,2.091               ,3.823               ,4.416               ,5.424               ,4.968               ,4.457               ,3987.703            ,3987.703            ,3987.703            ,3987.703            ,3987.703            ,3987.703            ,3987.703            ,3987.703            ,3987.703            ,3987.703            ,3987.703            ,3987.703            ,3987.703            ,12.245              ,6590.000            ,12020.000           ,N/A                 ,0.000               ,N/A                 ,N/A                 ,N/A                 
80, 07-04-2024 23:33:37, 46.000              ,4.000               ,9.000               ,0.000               ,0.000               ,715.832             ,300.000             ,405.000             ,12.000              ,10.193              ,0.000               ,0.000               ,0.000               ,1.000               ,62.000              ,62.000              ,59.000              ,59.000              ,65.000              ,65.000              ,59.000              ,59.000              ,57.000              ,58.000              ,57.000              ,57.000              ,66.000              ,8.941               ,0.803               ,8.800               ,3.926               ,8.372               ,4.219               ,6.280               ,1.935               ,4.636               ,2.169               ,10.961              ,5.942               ,5.582               ,4087.396            ,4087.396            ,4087.396            ,4087.396            ,4087.396            ,4087.396            ,4087.396            ,4087.396            ,4087.396            ,4087.396            ,4087.396            ,4087.396            ,4087.396            ,13.670              ,6589.000            ,12018.000           ,N/A                 ,0.000               ,N/A                 ,N/A                 ,N/A                 
80, 07-04-2024 23:33:38, 46.000              ,13.000              ,14.000              ,12.000              ,0.000               ,715.832             ,300.000             ,405.000             ,12.000              ,9.841               ,0.000               ,0.000               ,0.000               ,1.000               ,61.000              ,61.000              ,57.000              ,57.000              ,59.000              ,59.000              ,57.000              ,57.000              ,57.000              ,57.000              ,58.000              ,58.000              ,61.000              ,12.043              ,3.364               ,11.509              ,5.707               ,8.896               ,5.951               ,8.233               ,2.810               ,5.952               ,6.635               ,7.716               ,7.291               ,7.176               ,4087.396            ,4087.396            ,4087.396            ,4087.396            ,4087.396            ,4087.396            ,4087.396            ,4087.396            ,4087.396            ,4087.396            ,4087.396            ,4087.396            ,4087.396            ,14.727              ,6589.000            ,12018.000           ,N/A                 ,0.000               ,N/A                 ,N/A                 ,N/A                 
