02, 07-04-2024 23:28:09, GPU temperature     ,GPU usage           ,FB usage            ,VID usage           ,BUS usage           ,Memory usage        ,Core clock          ,Memory clock        ,Power percent       ,Power               ,Temp limit          ,Power limit         ,Voltage limit       ,No load limit       ,CPU1 temperature    ,CPU2 temperature    ,CPU3 temperature    ,CPU4 temperature    ,CPU5 temperature    ,CPU6 temperature    ,CPU7 temperature    ,CPU8 temperature    ,CPU9 temperature    ,CPU10 temperature   ,CPU11 temperature   ,CPU12 temperature   ,CPU temperature     ,CPU1 usage          ,CPU2 usage          ,CPU3 usage          ,CPU4 usage          ,CPU5 usage          ,CPU6 usage          ,CPU7 usage          ,CPU8 usage          ,CPU9 usage          ,CPU10 usage         ,CPU11 usage         ,CPU12 usage         ,CPU usage           ,CPU1 clock          ,CPU2 clock          ,CPU3 clock          ,CPU4 clock          ,CPU5 clock          ,CPU6 clock          ,CPU7 clock          ,CPU8 clock          ,CPU9 clock          ,CPU10 clock         ,CPU11 clock         ,CPU12 clock         ,CPU clock           ,CPU power           ,RAM usage           ,Commit charge       ,Framerate           ,Frametime           ,Framerate Min       ,Framerate Avg       ,Framerate Max       
80, 07-04-2024 23:28:09, 47.000              ,8.000               ,12.000              ,2.000               ,0.000               ,733.660             ,300.000             ,405.000             ,12.000              ,9.819               ,0.000               ,0.000               ,0.000               ,1.000               ,94.000              ,94.000              ,75.000              ,75.000              ,79.000              ,79.000              ,71.000              ,71.000              ,68.000              ,68.000              ,64.000              ,64.000              ,86.000              ,15.087              ,7.311               ,11.771              ,9.428               ,15.522              ,25.655              ,8.371               ,2.456               ,6.989               ,3.325               ,6.038               ,10.723              ,10.223              ,4087.396            ,4087.396            ,4087.396            ,4087.396            ,4087.396            ,4087.396            ,4087.396            ,4087.396            ,4087.396            ,4087.396            ,4087.396            ,4087.396            ,4087.396            ,20.654              ,6657.000            ,12165.000           ,N/A                 ,0.000               ,N/A                 ,N/A                 ,N/A                 
80, 07-04-2024 23:28:10, 47.000              ,8.000               ,12.000              ,2.000               ,0.000               ,734.348             ,345.000             ,405.000             ,12.000              ,9.902               ,0.000               ,0.000               ,0.000               ,1.000               ,82.000              ,82.000              ,83.000              ,83.000              ,84.000              ,84.000              ,77.000              ,77.000              ,73.000              ,74.000              ,72.000              ,72.000              ,83.000              ,18.696              ,2.997               ,19.114              ,9.623               ,21.576              ,4.821               ,9.210               ,4.683               ,9.716               ,2.338               ,17.966              ,59.508              ,15.021              ,4087.396            ,4087.396            ,4087.396            ,4087.396            ,4087.396            ,4087.396            ,4087.396            ,4087.396            ,4087.396            ,4087.396            ,4087.396            ,4087.396            ,4087.396            ,29.968              ,6625.000            ,12133.000           ,N/A                 ,0.000               ,N/A                 ,N/A                 ,N/A                 
80, 07-04-2024 23:28:11, 47.000              ,20.000              ,18.000              ,1.000               ,1.000               ,730.035             ,345.000             ,405.000             ,12.000              ,9.991               ,0.000               ,0.000               ,0.000               ,1.000               ,71.000              ,71.000              ,65.000              ,65.000              ,70.000              ,70.000              ,66.000              ,66.000              ,64.000              ,64.000              ,66.000              ,66.000              ,71.000              ,18.552              ,9.883               ,19.075              ,13.517              ,16.860              ,8.041               ,16.566              ,6.851               ,13.095              ,5.443               ,15.615              ,13.217              ,13.060              ,3987.703            ,3987.703            ,3987.703            ,3987.703            ,3987.703            ,3987.703            ,3987.703            ,3987.703            ,3987.703            ,3987.703            ,3987.703            ,3987.703            ,3987.703            ,25.400              ,6624.000            ,12139.000           ,N/A                 ,0.000               ,N/A                 ,N/A                 ,N/A                 
80, 07-04-2024 23:28:12, 47.000              ,11.000              ,14.000              ,10.000              ,0.000               ,733.410             ,345.000             ,405.000             ,13.000              ,9.855               ,0.000               ,0.000               ,0.000               ,1.000               ,67.000              ,67.000              ,64.000              ,64.000              ,87.000              ,87.000              ,66.000              ,66.000              ,66.000              ,66.000              ,61.000              ,61.000              ,88.000              ,12.014              ,2.861               ,13.582              ,7.896               ,11.232              ,5.405               ,11.568              ,2.510               ,4.922               ,5.126               ,6.828               ,7.395               ,7.612               ,3987.703            ,3987.703            ,3987.703            ,3987.703            ,3987.703            ,3987.703            ,3987.703            ,3987.703            ,3987.703            ,3987.703            ,3987.703            ,3987.703            ,3987.703            ,18.381              ,6623.000            ,12142.000           ,N/A                 ,0.000               ,N/A                 ,N/A                 ,N/A                 
80, 07-04-2024 23:28:13, 47.000              ,13.000              ,15.000              ,11.000              ,0.000               ,743.098             ,450.000             ,405.000             ,12.000              ,10.067              ,0.000               ,0.000               ,0.000               ,1.000               ,66.000              ,66.000              ,62.000              ,62.000              ,66.000              ,66.000              ,61.000              ,61.000              ,60.000              ,60.000              ,62.000              ,62.000              ,66.000              ,14.478              ,3.670               ,12.463              ,8.410               ,7.792               ,4.450               ,7.226               ,2.027               ,4.391               ,2.816               ,5.977               ,7.093               ,6.733               ,3987.703            ,3987.703            ,3987.703            ,3987.703            ,3987.703            ,3987.703            ,3987.703            ,3987.703            ,3987.703            ,3987.703            ,3987.703            ,3987.703            ,3987.703            ,18.314              ,6625.000            ,12148.000           ,N/A                 ,0.000               ,N/A                 ,N/A                 ,N/A                 
80, 07-04-2024 23:28:14, 47.000              ,19.000              ,19.000              ,13.000              ,0.000               ,734.660             ,450.000             ,405.000             ,12.000              ,10.226              ,0.000               ,0.000               ,0.000               ,1.000               ,67.000              ,67.000              ,63.000              ,63.000              ,66.000              ,66.000              ,63.000              ,63.000              ,62.000              ,62.000              ,61.000              ,61.000              ,68.000              ,15.733              ,4.025               ,17.604              ,9.601               ,11.538              ,7.779               ,13.650              ,3.619               ,7.843               ,5.973               ,9.249               ,8.578               ,9.599               ,4087.396            ,4087.396            ,4087.396            ,4087.396            ,4087.396            ,4087.396            ,4087.396            ,4087.396            ,4087.396            ,4087.396            ,4087.396            ,4087.396            ,4087.396            ,20.877              ,6626.000            ,12133.000           ,N/A                 ,0.000               ,N/A                 ,N/A                 ,N/A                 
80, 07-04-2024 23:28:15, 47.000              ,7.000               ,13.000              ,11.000              ,0.000               ,734.660             ,300.000             ,405.000             ,11.000              ,9.637               ,0.000               ,0.000               ,0.000               ,1.000               ,62.000              ,62.000              ,59.000              ,59.000              ,62.000              ,62.000              ,59.000              ,59.000              ,58.000              ,58.000              ,59.000              ,59.000              ,62.000              ,10.707              ,5.777               ,9.712               ,7.979               ,7.043               ,6.274               ,7.812               ,2.262               ,4.283               ,5.069               ,6.188               ,6.410               ,6.626               ,4087.396            ,4087.396            ,4087.396            ,4087.396            ,4087.396            ,4087.396            ,4087.396            ,4087.396            ,4087.396            ,4087.396            ,4087.396            ,4087.396            ,4087.396            ,13.694              ,6626.000            ,12131.000           ,N/A                 ,0.000               ,N/A                 ,N/A                 ,N/A                 
80, 07-04-2024 23:28:16, 47.000              ,7.000               ,11.000              ,2.000               ,0.000               ,730.660             ,300.000             ,405.000             ,12.000              ,9.677               ,0.000               ,0.000               ,0.000               ,1.000               ,71.000              ,71.000              ,61.000              ,61.000              ,66.000              ,66.000              ,61.000              ,61.000              ,60.000              ,60.000              ,57.000              ,57.000              ,71.000              ,13.866              ,2.261               ,24.552              ,8.042               ,16.436              ,7.047               ,11.535              ,21.455              ,7.160               ,3.120               ,8.906               ,5.986               ,10.864              ,4087.396            ,4087.396            ,4087.396            ,4087.396            ,4087.396            ,4087.396            ,4087.396            ,4087.396            ,4087.396            ,4087.396            ,4087.396            ,4087.396            ,4087.396            ,22.033              ,6632.000            ,12130.000           ,N/A                 ,0.000               ,N/A                 ,N/A                 ,N/A                 
80, 07-04-2024 23:28:17, 47.000              ,7.000               ,10.000              ,0.000               ,0.000               ,730.660             ,300.000             ,405.000             ,12.000              ,9.748               ,0.000               ,0.000               ,0.000               ,1.000               ,73.000              ,73.000              ,64.000              ,64.000              ,66.000              ,66.000              ,65.000              ,65.000              ,60.000              ,60.000              ,59.000              ,59.000              ,74.000              ,7.923               ,2.586               ,10.054              ,4.129               ,7.012               ,2.930               ,6.404               ,0.016               ,2.281               ,2.093               ,8.781               ,2.786               ,4.750               ,4087.396            ,4087.396            ,4087.396            ,4087.396            ,4087.396            ,4087.396            ,4087.396            ,4087.396            ,4087.396            ,4087.396            ,4087.396            ,4087.396            ,4087.396            ,14.430              ,6582.000            ,12029.000           ,N/A                 ,0.000               ,N/A                 ,N/A                 ,N/A                 
80, 07-04-2024 23:28:18, 47.000              ,4.000               ,9.000               ,0.000               ,0.000               ,730.660             ,300.000             ,405.000             ,14.000              ,10.469              ,0.000               ,0.000               ,0.000               ,1.000               ,71.000              ,71.000              ,63.000              ,63.000              ,65.000              ,65.000              ,62.000              ,62.000              ,61.000              ,61.000              ,57.000              ,57.000              ,71.000              ,11.457              ,6.046               ,9.507               ,7.460               ,6.825               ,5.251               ,6.657               ,3.041               ,4.068               ,4.021               ,6.177               ,4.597               ,6.259               ,4087.396            ,4087.396            ,4087.396            ,4087.396            ,4087.396            ,4087.396            ,4087.396            ,4087.396            ,4087.396            ,4087.396            ,4087.396            ,4087.396            ,4087.396            ,13.437              ,6573.000            ,12017.000           ,N/A                 ,0.000               ,N/A                 ,N/A                 ,N/A                 
