02, 07-04-2024 22:41:20, GPU temperature     ,GPU usage           ,FB usage            ,VID usage           ,BUS usage           ,Memory usage        ,Core clock          ,Memory clock        ,Power percent       ,Power               ,Temp limit          ,Power limit         ,Voltage limit       ,No load limit       ,CPU1 temperature    ,CPU2 temperature    ,CPU3 temperature    ,CPU4 temperature    ,CPU5 temperature    ,CPU6 temperature    ,CPU7 temperature    ,CPU8 temperature    ,CPU9 temperature    ,CPU10 temperature   ,CPU11 temperature   ,CPU12 temperature   ,CPU temperature     ,CPU1 usage          ,CPU2 usage          ,CPU3 usage          ,CPU4 usage          ,CPU5 usage          ,CPU6 usage          ,CPU7 usage          ,CPU8 usage          ,CPU9 usage          ,CPU10 usage         ,CPU11 usage         ,CPU12 usage         ,CPU usage           ,CPU1 clock          ,CPU2 clock          ,CPU3 clock          ,CPU4 clock          ,CPU5 clock          ,CPU6 clock          ,CPU7 clock          ,CPU8 clock          ,CPU9 clock          ,CPU10 clock         ,CPU11 clock         ,CPU12 clock         ,CPU clock           ,CPU power           ,RAM usage           ,Commit charge       ,Framerate           ,Frametime           ,Framerate Min       ,Framerate Avg       ,Framerate Max       
80, 07-04-2024 22:41:20, 73.000              ,41.000              ,15.000              ,0.000               ,1.000               ,1728.797            ,1830.000            ,6000.984            ,107.000             ,70.154              ,0.000               ,1.000               ,0.000               ,0.000               ,93.000              ,93.000              ,87.000              ,87.000              ,96.000              ,96.000              ,90.000              ,90.000              ,85.000              ,85.000              ,81.000              ,84.000              ,92.000              ,29.266              ,12.630              ,21.666              ,27.019              ,27.904              ,11.934              ,19.630              ,9.564               ,16.368              ,8.075               ,16.293              ,49.559              ,20.826              ,3987.703            ,3987.703            ,3987.703            ,3987.703            ,3987.703            ,3987.703            ,3987.703            ,3987.703            ,3987.703            ,3987.703            ,3987.703            ,3987.703            ,3987.703            ,27.794              ,8299.000            ,14344.000           ,30.200              ,34.006              ,N/A                 ,N/A                 ,N/A                 
80, 07-04-2024 22:41:21, 73.000              ,42.000              ,14.000              ,0.000               ,1.000               ,1728.797            ,1860.000            ,6000.984            ,82.000              ,70.248              ,0.000               ,0.000               ,0.000               ,1.000               ,95.000              ,95.000              ,83.000              ,83.000              ,89.000              ,89.000              ,84.000              ,84.000              ,82.000              ,82.000              ,80.000              ,80.000              ,95.000              ,18.744              ,11.159              ,16.030              ,14.586              ,14.998              ,7.501               ,11.404              ,6.454               ,11.057              ,5.006               ,10.248              ,29.954              ,13.095              ,3987.703            ,3987.703            ,3987.703            ,3987.703            ,3987.703            ,3987.703            ,3987.703            ,3987.703            ,3987.703            ,3987.703            ,3987.703            ,3987.703            ,3987.703            ,25.809              ,8305.000            ,14346.000           ,30.200              ,34.171              ,N/A                 ,N/A                 ,N/A                 
80, 07-04-2024 22:41:22, 73.000              ,43.000              ,15.000              ,0.000               ,1.000               ,1727.578            ,1860.000            ,6000.984            ,82.000              ,72.197              ,0.000               ,0.000               ,0.000               ,1.000               ,92.000              ,92.000              ,86.000              ,86.000              ,93.000              ,93.000              ,86.000              ,86.000              ,85.000              ,85.000              ,82.000              ,82.000              ,93.000              ,40.219              ,15.746              ,34.865              ,22.473              ,36.348              ,19.437              ,22.215              ,19.768              ,22.296              ,14.343              ,25.685              ,37.881              ,25.940              ,3987.703            ,3987.703            ,3987.703            ,3987.703            ,3987.703            ,3987.703            ,3987.703            ,3987.703            ,3987.703            ,3987.703            ,3987.703            ,3987.703            ,3987.703            ,26.817              ,8298.000            ,14361.000           ,30.300              ,35.037              ,N/A                 ,N/A                 ,N/A                 
80, 07-04-2024 22:41:23, 73.000              ,42.000              ,15.000              ,0.000               ,1.000               ,1735.016            ,1860.000            ,6000.984            ,88.000              ,71.594              ,0.000               ,0.000               ,0.000               ,1.000               ,95.000              ,95.000              ,84.000              ,84.000              ,89.000              ,89.000              ,85.000              ,85.000              ,83.000              ,83.000              ,80.000              ,80.000              ,95.000              ,23.032              ,11.766              ,18.797              ,20.096              ,16.107              ,9.191               ,14.638              ,9.260               ,12.214              ,9.361               ,17.644              ,30.619              ,16.060              ,3788.318            ,3788.318            ,3788.318            ,3788.318            ,3788.318            ,3788.318            ,3788.318            ,3788.318            ,3788.318            ,3788.318            ,3788.318            ,3788.318            ,3788.318            ,26.430              ,8310.000            ,14364.000           ,30.300              ,35.524              ,N/A                 ,N/A                 ,N/A                 
80, 07-04-2024 22:41:24, 73.000              ,42.000              ,15.000              ,0.000               ,1.000               ,1731.578            ,1860.000            ,6000.984            ,81.000              ,71.744              ,0.000               ,0.000               ,0.000               ,1.000               ,96.000              ,96.000              ,85.000              ,85.000              ,96.000              ,96.000              ,86.000              ,86.000              ,85.000              ,85.000              ,83.000              ,83.000              ,97.000              ,28.188              ,19.521              ,26.632              ,20.350              ,24.401              ,12.983              ,20.288              ,12.524              ,18.687              ,10.767              ,17.706              ,33.685              ,20.478              ,3987.701            ,3987.701            ,3987.701            ,3987.701            ,3987.701            ,3987.701            ,3987.701            ,3987.701            ,3987.701            ,3987.701            ,3987.701            ,3987.701            ,3987.701            ,26.437              ,8310.000            ,14422.000           ,59.300              ,68.932              ,N/A                 ,N/A                 ,N/A                 
80, 07-04-2024 22:41:25, 73.000              ,41.000              ,14.000              ,0.000               ,1.000               ,1728.750            ,1845.000            ,6000.984            ,95.000              ,73.466              ,0.000               ,1.000               ,0.000               ,0.000               ,94.000              ,94.000              ,82.000              ,82.000              ,93.000              ,93.000              ,84.000              ,84.000              ,82.000              ,82.000              ,78.000              ,78.000              ,95.000              ,31.225              ,17.090              ,36.700              ,22.991              ,42.074              ,14.921              ,27.354              ,13.493              ,26.154              ,11.623              ,21.002              ,32.403              ,24.752              ,3987.701            ,3987.701            ,3987.701            ,3987.701            ,3987.701            ,3987.701            ,3987.701            ,3987.701            ,3987.701            ,3987.701            ,3987.701            ,3987.701            ,3987.701            ,25.513              ,8315.000            ,14416.000           ,31.200              ,36.135              ,N/A                 ,N/A                 ,N/A                 
80, 07-04-2024 22:41:26, 73.000              ,41.000              ,15.000              ,0.000               ,1.000               ,1728.750            ,1860.000            ,6000.984            ,82.000              ,70.383              ,0.000               ,0.000               ,0.000               ,1.000               ,99.000              ,99.000              ,84.000              ,84.000              ,92.000              ,92.000              ,86.000              ,86.000              ,83.000              ,83.000              ,82.000              ,82.000              ,98.000              ,24.356              ,10.493              ,24.846              ,14.486              ,20.789              ,8.939               ,15.869              ,7.917               ,16.270              ,7.705               ,19.892              ,27.731              ,16.608              ,3987.705            ,3987.705            ,3987.705            ,3987.705            ,3987.705            ,3987.705            ,3987.705            ,3987.705            ,3987.705            ,3987.705            ,3987.705            ,3987.705            ,3987.705            ,27.218              ,8317.000            ,14416.000           ,30.200              ,35.251              ,N/A                 ,N/A                 ,N/A                 
80, 07-04-2024 22:41:27, 73.000              ,41.000              ,14.000              ,0.000               ,1.000               ,1717.563            ,1845.000            ,6000.984            ,80.000              ,72.882              ,0.000               ,1.000               ,0.000               ,0.000               ,94.000              ,94.000              ,82.000              ,82.000              ,92.000              ,92.000              ,84.000              ,84.000              ,88.000              ,88.000              ,82.000              ,82.000              ,94.000              ,30.781              ,15.512              ,24.622              ,19.794              ,23.625              ,17.158              ,20.158              ,18.074              ,23.247              ,14.470              ,28.317              ,39.929              ,22.974              ,3987.705            ,3987.705            ,3987.705            ,3987.705            ,3987.705            ,3987.705            ,3987.705            ,3987.705            ,3987.705            ,3987.705            ,3987.705            ,3987.705            ,3987.705            ,26.513              ,8316.000            ,14425.000           ,58.900              ,20.205              ,N/A                 ,N/A                 ,N/A                 
80, 07-04-2024 22:41:28, 73.000              ,45.000              ,15.000              ,0.000               ,1.000               ,1714.375            ,1845.000            ,6000.984            ,78.000              ,69.126              ,0.000               ,1.000               ,0.000               ,0.000               ,95.000              ,95.000              ,86.000              ,86.000              ,94.000              ,94.000              ,89.000              ,89.000              ,85.000              ,85.000              ,83.000              ,83.000              ,96.000              ,44.879              ,23.095              ,50.092              ,26.890              ,38.334              ,32.205              ,42.869              ,26.085              ,29.713              ,22.146              ,41.478              ,50.633              ,35.702              ,2891.085            ,2891.085            ,2891.085            ,2891.085            ,2891.085            ,2891.085            ,2891.085            ,2891.085            ,2891.085            ,2891.085            ,2990.777            ,2791.392            ,2990.777            ,27.355              ,8323.000            ,14439.000           ,56.700              ,53.610              ,N/A                 ,N/A                 ,N/A                 
80, 07-04-2024 22:41:29, 73.000              ,41.000              ,13.000              ,0.000               ,1.000               ,1723.281            ,1860.000            ,6000.984            ,91.000              ,70.277              ,0.000               ,0.000               ,0.000               ,1.000               ,97.000              ,96.000              ,83.000              ,83.000              ,90.000              ,90.000              ,85.000              ,85.000              ,84.000              ,84.000              ,82.000              ,82.000              ,96.000              ,35.217              ,22.293              ,48.600              ,34.283              ,35.623              ,21.506              ,36.161              ,38.743              ,39.280              ,15.530              ,40.428              ,42.001              ,34.139              ,2891.085            ,2592.007            ,2592.007            ,2592.007            ,2592.007            ,2592.007            ,2592.007            ,2592.007            ,2592.007            ,2592.007            ,2592.007            ,2592.007            ,2891.085            ,29.179              ,8383.000            ,14524.000           ,59.100              ,18.604              ,N/A                 ,N/A                 ,N/A                 
